Lecture720, static, 72.79916319665271, 144.11436549372385,Lecture720, static, 62.1603905, 64.33891213389121,
Lecture720, 3000-1500, 102.83542536192469, 296.8563458828452,Lecture720, 3000-1500, 69.97210599372384, 142.53835417154812,
Lecture720, 3000-300, 176.64295675732217, 607.3654116820084,Lecture720, 3000-300, 74.59972104811716, 299.2273358723849,
Lecture720, 3000-50, 3481.552301238494, 3530.538354322176,Lecture720, 3000-50, 2316.601115751046, 3005.503486625523,
Lecture1, static, 69.06894242570282, 148.1760371626506,Lecture1, static, 62.67001337550201, 64.41499351405622,
Lecture1, 3000-1500, 91.7677376184739, 289.7530117349398,Lecture1, 3000-1500, 67.47322621686747, 148.1760371626506,
Lecture1, 3000-300, 153.54149932329318, 539.4665329779116,Lecture1, 3000-300, 74.05020080522088, 295.8186074437751,
Lecture1, 3000-50, 2700.034136544177, 2963.402275610442,Lecture1, 3000-50, 2600.9979919638554, 2873.9109771606427,
Lecture2, static, 68.88888888353414, 162.333333,Lecture2, static, 62.53012046987952, 63.96117808433735,
Lecture2, 3000-1500, 96.69812584136547, 306.9163316666667,Lecture2, 3000-1500, 67.78781794979919, 162.333333,
Lecture2, 3000-300, 162.1773761827309, 698.4089691325302,Lecture2, 3000-300, 74.11847389558233, 312.7663988493976,
Lecture2, 3000-50, 3846.0595716566268, 3884.5334671485944,Lecture2, 3000-50, 3171.9765729618475, 3252.0033465863453,
Lecture3, static, 70.31498165865865, 149.0,Lecture3, static, 63.192525856856854, 65.31498142442442,
Lecture3, 3000-1500, 84.1464798048048, 319.42108775375374,Lecture3, 3000-1500, 70.26793458358358, 149.0,
Lecture3, 3000-300, 148.77844513013014, 756.9055722402402,Lecture3, 3000-300, 80.83383383683683, 402.50116812812814,
Lecture3, 3000-50, 3951.8782115355357, 5249.6182847577575,Lecture3, 3000-50, 3520.2132132002002, 4781.616950474475,
Lecture4, static, 74.8192771004016, 112.2409638995984,Lecture4, static, 63.02677374497992, 65.31325268674698,
Lecture4, 3000-1500, 97.47791164257028, 265.1077646325301,Lecture4, 3000-1500, 72.38554215863454, 119.9939758554217,
Lecture4, 3000-300, 182.5194109678715, 605.9497991967871,Lecture4, 3000-300, 77.88755019879518, 298.44645222289154,
Lecture4, 3000-50, 3800.538152624498, 3838.2255689578315,Lecture4, 3000-50, 3124.6880856967873, 3214.999330726908,
Sports, static, 76.21181715719064, 158.69063535785955,Sports, static, 63.40746934949833, 64.95930879431438,
Sports, 3000-1500, 98.38963209364549, 361.238573090301,Sports, 3000-1500, 73.49777032608695, 159.93645489966556,
Sports, 3000-300, 162.96711257692309, 668.0468225468228,Sports, 3000-300, 79.16555184448161, 317.82943123745815,
Sports, 3000-50, 4081.6516164816053, 4139.975473824415,Sports, 3000-50, 2780.659420270903, 2963.331103750836,
Sport2, static, 71.96432553010034, 221.666667,Sport2, static, 62.726309921404685, 64.92419182608695,
Sport2, 3000-1500, 84.10200667056856, 264.4353400869565,Sport2, 3000-1500, 69.4632106923077, 221.666667,
Sport2, 3000-300, 115.83667780434783, 527.9570794816053,Sport2, 3000-300, 78.63489405685618, 372.5222966103679,
Sport2, 3000-50, 1438.3784837324415, 3372.056855986622,Sport2, 3000-50, 1391.8232997892976, 3372.056855986622,
Animation1, static, 108.92608089539749, 262.1101813619247,Animation1, static, 61.94002790585774, 65.42329148535565,
Animation1, 3000-1500, 127.28103206903766, 340.91771294769876,Animation1, 3000-1500, 108.23500696443514, 273.3626219100418,
Animation1, 3000-300, 196.32008367364017, 661.8242680418409,Animation1, 3000-300, 122.56136680125523, 381.19665273221756,
Animation1, 3000-50, 3972.7635983451883, 4234.167364125523,Animation1, 3000-50, 3406.8500697154814, 3720.987447711297,
Animation2, static, 98.58045977011494, 198.78735662068965,Animation2, static, 61.73563216666667, 63.68390834482759,
Animation2, 3000-1500, 140.30459770689654, 223.69731812068966,Animation2, 3000-1500, 100.45785438505747, 198.78735662068965,
Animation2, 3000-300, 290.69157088505744, 384.86973190229884,Animation2, 3000-300, 117.89463602298851, 229.23754808620689,
Animation2, 3000-50, 1184.1398467528736, 1237.8582377471264,Animation2, 3000-50, 1065.6340996436782, 1137.0919541724138,
CoverSong, static, 92.19772880761523, 315.46960620841685,CoverSong, static, 62.34001336472946, 64.8002673026052,
CoverSong, 3000-1500, 119.38410153707414, 352.5744821302605,CoverSong, 3000-1500, 97.98797595591182, 315.46960620841685,
CoverSong, 3000-300, 112.69873080761523, 567.5337344649298,CoverSong, 3000-300, 93.19973280961923, 567.5337344649298,
CoverSong, 3000-50, 3167.7755511062123, 5217.901135426853,CoverSong, 3000-50, 3303.580494304609, 5217.901135426853,
Gaming, static, 103.3907469180602, 326.46432576923075,Gaming, static, 61.497770337792645, 65.47380122742474,
Gaming, 3000-1500, 112.73801561371238, 310.6627647541806,Gaming, 3000-1500, 114.1594202993311, 316.9030099983278,
Gaming, 3000-300, 137.77814937458194, 527.7196207625418,Gaming, 3000-300, 86.19509476086957, 274.19119288628764,
Gaming, 3000-50, 1157.7892975869565, 2756.2201786270903,Gaming, 3000-50, 892.7725751722407, 2248.527870772575,
