Lecture720, static, 38.04981216150826, 33.59287462777135,Lecture720, static, 37.46331324870441, 34.925020210026375,
Lecture720, 3000-1500, 36.87804219847006, 32.66985886879513,Lecture720, 3000-1500, 36.84059005537596, 33.4267317424721,
Lecture720, 3000-300, 33.89880126327876, 31.423231958694146,Lecture720, 3000-300, 33.87442685563933, 31.966942218688704,
Lecture720, 3000-50, 31.44662917048214, 29.951510970832178,Lecture720, 3000-50, 31.35235280200568, 29.96910160807414,
Lecture1, static, 39.95178764707094, 38.54544682955954,Lecture1, static, 39.5826022887433, 39.0444390701655,
Lecture1, 3000-1500, 39.35357338530757, 37.96022290231619,Lecture1, 3000-1500, 39.323780339402035, 38.27554049413889,
Lecture1, 3000-300, 38.49241093228409, 37.49596631759137,Lecture1, 3000-300, 38.48519583333438, 37.65410169345714,
Lecture1, 3000-50, 37.77661410703492, 36.841897112560844,Lecture1, 3000-50, 37.7700745868476, 36.848105311549574,
Lecture2, static, 37.031805687182114, 34.12201452540675,Lecture2, static, 36.70279022769346, 35.0099109439971,
Lecture2, 3000-1500, 35.90252983167517, 33.27983105314061,Lecture2, 3000-1500, 35.837617122326115, 33.71522853729642,
Lecture2, 3000-300, 33.66480340518705, 31.824715322016562,Lecture2, 3000-300, 33.54215145428982, 32.130257367163935,
Lecture2, 3000-50, 29.507261263844555, 28.68832499224808,Lecture2, 3000-50, 29.563414562011207, 28.729797572758503,
Lecture3, static, 36.21984256937926, 34.961969297449926,Lecture3, static, 36.16185481409235, 35.70469344782562,
Lecture3, 3000-1500, 35.826431678991064, 34.34456707237758,Lecture3, 3000-1500, 35.82004607610096, 34.75900500988144,
Lecture3, 3000-300, 34.60173588915033, 33.198358069750114,Lecture3, 3000-300, 34.59672321410038, 33.487242564419134,
Lecture3, 3000-50, 32.11208292228722, 31.321624129576396,Lecture3, 3000-50, 32.09228991268902, 31.34541963054634,
Lecture4, static, 37.46287483750733, 34.43754253760869,Lecture4, static, 37.299631849524616, 35.08192874421348,
Lecture4, 3000-1500, 37.05921012259322, 33.511509939002856,Lecture4, 3000-1500, 37.005757452281316, 34.357758613673546,
Lecture4, 3000-300, 34.325744811220986, 32.29878454752953,Lecture4, 3000-300, 34.24966489200654, 32.597055176135555,
Lecture4, 3000-50, 31.98163680535953, 30.349855480518954,Lecture4, 3000-50, 32.02044201113703, 30.52270942829154,
Sports, static, 33.06878008626637, 29.046043316921306,Sports, static, 32.811717956195764, 30.282871896657667,
Sports, 3000-1500, 32.0223479176955, 28.63057102237366,Sports, 3000-1500, 31.98886075592077, 29.086649198691752,
Sports, 3000-300, 29.50379150617258, 28.370676708005313,Sports, 3000-300, 29.454364679682563, 28.421769834400443,
Sports, 3000-50, 29.014248727415062, 28.226658807397836,Sports, 3000-50, 29.086310746434652, 28.29153905862654,
Sport2, static, 31.122981427488245, 30.180880696535525,Sport2, static, 31.02524256835154, 30.584004208526835,
Sport2, 3000-1500, 30.721918064901924, 30.064929760893328,Sport2, 3000-1500, 30.715952832557335, 30.1204664669973,
Sport2, 3000-300, 30.133576776792168, 29.763164445373853,Sport2, 3000-300, 30.132664089927285, 29.826844786758805,
Sport2, 3000-50, 29.923981320168533, 29.069414833854502,Sport2, 3000-50, 29.921368093541595, 29.066995092516503,
Animation1, static, 34.24892206902368, 32.89783337089066,Animation1, static, 32.943870397880346, 32.70048505539405,
Animation1, 3000-1500, 32.60404831988282, 31.687752793914342,Animation1, 3000-1500, 32.56953345275015, 31.810032935797096,
Animation1, 3000-300, 30.929777849010218, 30.166304168223153,Animation1, 3000-300, 30.96442948759364, 30.42500797807564,
Animation1, 3000-50, 29.401410364978833, 28.674662339239728,Animation1, 3000-50, 29.46114000320794, 28.690650925575238,
Animation2, static, 31.280974754111693, 30.599467874985848,Animation2, static, 31.131783858945454, 30.836904879146324,
Animation2, 3000-1500, 31.239074156928474, 30.55119409848289,Animation2, 3000-1500, 31.225450407550337, 30.561179708272345,
Animation2, 3000-300, 31.151577864734936, 30.4739923297502,Animation2, 3000-300, 31.149837088231884, 30.494022736643764,
Animation2, 3000-50, 31.139354616950914, 30.51248967735726,Animation2, 3000-50, 31.13834704621302, 30.511510705233473,
CoverSong, static, 30.696136955953644, 30.47156209311394,CoverSong, static, 30.700402986467687, 30.63897275137388,
CoverSong, 3000-1500, 30.527328852089344, 30.365322654653497,CoverSong, 3000-1500, 30.523880346805445, 30.367530509147795,
CoverSong, 3000-300, 30.06924504336652, 29.976118830400114,CoverSong, 3000-300, 30.08535985352432, 29.99202348434997,
CoverSong, 3000-50, 29.266158946384113, 29.19457885880293,CoverSong, 3000-50, 29.266307591331863, 29.189497154462273,
Gaming, static, 32.62013216216261, 31.556906281866162,Gaming, static, 31.714304379206776, 31.365738469878256,
Gaming, 3000-1500, 31.76651750892861, 31.15720173745658,Gaming, 3000-1500, 31.736111326998465, 31.126289373343088,
Gaming, 3000-300, 31.14148184092726, 30.654383815618594,Gaming, 3000-300, 31.163348564506506, 30.877531579096857,
Gaming, 3000-50, 31.129386759716724, 29.861301515765458,Gaming, 3000-50, 31.12783647859262, 30.016972509164166,
